state,year,availability,expenditure,utilization_rate
AP,22-23,672020.4800000001,859104.1900000002,127.83898937127631
AP,23-24,706200.94,893181.42,126.47695144670865
AP,24-25,651926.4400000001,846985.2500000001,129.92037107744855
AP,25-26,590038.77,772915.42,130.99400569898145
AR,22-23,58166.86,58238.62999999999,100.12338640937466
AR,23-24,57683.61,58058.58,100.6500460009351
AR,24-25,66339.12000000001,66914.99,100.8680700015315
AR,25-26,72737.45000000001,70724.08000000002,97.23200359649672
AS,22-23,199050.23,194664.55,97.7966968438067
AS,23-24,240012.05999999997,236635.41999999998,98.59313736151427
AS,24-25,222749.64999999997,220751.90999999997,99.10314561661488
AS,25-26,196964.48000000004,184817.38999999998,93.8328525021364
BR,22-23,662656.47,645479.03,97.40779109875741
BR,23-24,804331.0999999999,776201.1199999999,96.50268651802722
BR,24-25,858305.18,816527.8199999998,95.132575105745
BR,25-26,812705.06,725425.4299999999,89.26060211806727
CH,22-23,352995.52,358322.47,101.50907014343977
CH,23-24,376322.61,384733.6,102.23504774268015
CH,24-25,421851.32999999996,429948.51,101.91943924889368
CH,25-26,321391.08,331548.75,103.16053264452765
GA,22-23,471.23,409.13,86.82172187679052
GA,23-24,295.78,236.76,80.04598012035973
GA,24-25,421.1,418.18,99.30657800997388
GA,25-26,272.69,272.02,99.75429975429975
GJ,22-23,198661.33000000002,197258.98999999996,99.29410519903392
GJ,23-24,203941.13,203994.24,100.02604182883559
GJ,24-25,171249.33000000002,171867.08000000002,100.36073133833574
GJ,25-26,101271.82,101826.25,100.54746720262358
HP,22-23,137885.86000000002,128844.58,93.44292445940431
HP,23-24,127786.14999999998,128138.29000000001,100.27556977027639
HP,24-25,151720.8,152839.94999999998,100.7376378189411
HP,25-26,121453.84,122965.94,101.24499974640572
HR,22-23,47059.580000000016,47118.36,100.1249054921442
HR,23-24,58316.04,58389.539999999986,100.126037364677
HR,24-25,69736.8,69345.47000000002,99.4388472083606
HR,25-26,41156.07,40828.46000000001,99.20398133252277
JH,22-23,298613.61,291585.94,97.6465674153298
JH,23-24,383133.79000000004,377757.35,98.59671996040859
JH,24-25,328320.88,325168.67000000004,99.03989962502538
JH,25-26,363760.76,361230.06,99.3042954935546
